seccion,variable,estadistico,valor
frecuencias,T1,n,14409
frecuencias,T1,n_missing,19
frecuencias,T1,mean,0.6301000118255615
frecuencias,T1,sd,0.4828000068664551
frecuencias,T1,min,0.0
frecuencias,T1,max,1.0
frecuencias,T2,n,14410
frecuencias,T2,n_missing,18
frecuencias,T2,mean,0.2603999972343445
frecuencias,T2,sd,0.4388999938964844
frecuencias,T2,min,0.0
frecuencias,T2,max,1.0
frecuencias,T3,n,14428
frecuencias,T3,n_missing,0
frecuencias,T3,mean,0.2206999957561493
frecuencias,T3,sd,0.4147000014781952
frecuencias,T3,min,0.0
frecuencias,T3,max,1.0
frecuencias,T4,n,14428
frecuencias,T4,n_missing,0
frecuencias,T4,mean,1.5206999778747559
frecuencias,T4,sd,1.7675000429153442
frecuencias,T4,min,0.0
frecuencias,T4,max,5.0
frecuencias,T5,n,14428
frecuencias,T5,n_missing,0
frecuencias,T5,mean,0.44369998574256897
frecuencias,T5,sd,0.8794999718666077
frecuencias,T5,min,0.0
frecuencias,T5,max,5.0
frecuencias,n_consumidos,n,14428
frecuencias,n_consumidos,n_missing,0
frecuencias,n_consumidos,mean,0.26499998569488525
frecuencias,n_consumidos,sd,0.453000009059906
frecuencias,n_consumidos,min,0.0
frecuencias,n_consumidos,max,3.0
frecuencias,n_recibidos,n,14428
frecuencias,n_recibidos,n_missing,0
frecuencias,n_recibidos,mean,0.8220000267028809
frecuencias,n_recibidos,sd,0.7554000020027161
frecuencias,n_recibidos,min,0.0
frecuencias,n_recibidos,max,4.0
frecuencias,total_toma,n,14428
frecuencias,total_toma,n_missing,0
frecuencias,total_toma,mean,6.30649995803833
frecuencias,total_toma,sd,19.41670036315918
frecuencias,total_toma,min,0.0
frecuencias,total_toma,max,360.0
frecuencias,total_rec,n,14428
frecuencias,total_rec,n_missing,0
frecuencias,total_rec,mean,9.701299667358398
frecuencias,total_rec,sd,25.490100860595703
frecuencias,total_rec,min,0.0
frecuencias,total_rec,max,360.0
niveles_T5,T5=0,n,10676
niveles_T5,T5=0,pct,74.0
niveles_T5,T5=0,definicion,Sin consumo efectivo
niveles_T5,T5=1,n,1867
niveles_T5,T5=1,pct,12.9
niveles_T5,T5=1,definicion,1 tipo vehículo (jarabe/tableta/etc.)
niveles_T5,T5=2,n,1438
niveles_T5,T5=2,pct,10.0
niveles_T5,T5=2,definicion,2 tipos
niveles_T5,T5=3,n,199
niveles_T5,T5=3,pct,1.4
