variable,consumo_efectivo,control,total
Edad del niño (meses),19.9 (13.0),29.7 (14.2),26.5 (14.6)
Sexo femenino,49.6%,49.8%,49.7%
Bajo peso al nacer,6.3%,6.5%,6.5%
Edad materna (años),29.9 (7.1),30.6 (6.9),30.4 (7.0)
Educación materna (nivel),2.2 (0.7),2.2 (0.7),2.2 (0.7)
Anemia materna,25.7%,24.0%,24.5%
Control prenatal,94.4%,92.0%,92.8%
Quintil de riqueza,2.3 (1.2),2.3 (1.2),2.3 (1.2)
Agua potable,72.7%,71.8%,72.1%
Saneamiento,60.3%,60.9%,60.7%
Área urbana,64.7%,64.9%,64.8%
Diarrea 14 días (post-tratamiento),15.6%,14.1%,14.6%
Anemia,44.9%,34.5%,37.9%
Anemia moderada/severa,14.9%,9.9%,11.5%
Hb MINSA (g/L),110.4 (10.8),113.0 (10.4),112.1 (10.6)
Hb OMS (g/L),109.7 (10.6),112.2 (10.1),111.4 (10.4)
