covariable,smd_pre,smd_post,abs_smd_post,abs_smd_pre
edad_niño,-0.7197504432519742,0.02060683458566,0.02060683458566,0.7197504432519742
niña,-0.004433295143628461,0.007201775585385033,0.007201775585385033,0.004433295143628461
bajo_peso=1,-0.008432706638983257,-0.012835369708038816,0.012835369708038816,0.008432706638983257
edad_madre,-0.0901155178989623,0.01199356425384159,0.01199356425384159,0.0901155178989623
educa_madre=2,0.015547794670414955,-0.00015210641084043434,0.00015210641084043434,0.015547794670414955
educa_madre=3,0.023173832294830495,9.341525252367077e-05,9.341525252367077e-05,0.023173832294830495
madre_anemia,0.03904702015883606,0.006858079959961438,0.006858079959961438,0.03904702015883606
control_pren,0.09654329573714948,-0.0010230539492918197,0.0010230539492918197,0.09654329573714948
quintil=2,0.009546850990360133,-0.006603043101943027,0.006603043101943027,0.009546850990360133
quintil=3,0.023607004690480486,-0.01937902577810384,0.01937902577810384,0.023607004690480486
quintil=4,-0.027478321864748193,0.018796313268724385,0.018796313268724385,0.027478321864748193
quintil=5,-0.00836569276311074,0.0028568930780426354,0.0028568930780426354,0.00836569276311074
agua_potable,0.018770718297227238,0.009006494364275044,0.009006494364275044,0.018770718297227238
saneamiento,-0.012246547717213774,0.005779220433970136,0.005779220433970136,0.012246547717213774
area=1,-0.004522446032968383,0.010112748913382978,0.010112748913382978,0.004522446032968383
edad_niño_sq,0.012117065972491249,0.02304603714296222,0.02304603714296222,0.012117065972491249
edad_niño_cu,-0.6189006181914297,0.03854907220744138,0.03854907220744138,0.6189006181914297
