dropped,outcome,estimate
NONE,anemia,-0.027296422785094164
NONE,anemia_modsev,-0.020167994338103484
NONE,hb_minsa,0.7693479202279592
NONE,hb_oms,0.718273702019699
NONE,sev_anemia_score,-0.04746441712319765
edad_niño,anemia,0.10064454195947567
edad_niño,anemia_modsev,0.046692403981763664
edad_niño,hb_minsa,-2.361469126695136
edad_niño,hb_oms,-2.410536656598595
edad_niño,sev_anemia_score,0.14733694594123936
niña,anemia,-0.027413959690509915
niña,anemia_modsev,-0.020234977750639118
niña,hb_minsa,0.7721799732344558
niña,hb_oms,0.7213887916758952
niña,sev_anemia_score,-0.047648937441149036
bajo_peso,anemia,-0.0272067190707468
bajo_peso,anemia_modsev,-0.019902276184279425
bajo_peso,hb_minsa,0.7658638440604842
bajo_peso,hb_oms,0.7169881080657399
bajo_peso,sev_anemia_score,-0.0471089952550262
edad_madre,anemia,-0.027569600943919238
edad_madre,anemia_modsev,-0.02058878615589489
edad_madre,hb_minsa,0.7811098590798858
edad_madre,hb_oms,0.732090328624233
edad_madre,sev_anemia_score,-0.048158387099814126
educa_madre,anemia,-0.027492960953026134
educa_madre,anemia_modsev,-0.020268052426953904
educa_madre,hb_minsa,0.7726110810621184
educa_madre,hb_oms,0.7243607684109876
educa_madre,sev_anemia_score,-0.047761013379980045
madre_anemia,anemia,-0.026601951087507215
madre_anemia,anemia_modsev,-0.019943398608198677
madre_anemia,hb_minsa,0.7519892660779622
madre_anemia,hb_oms,0.7049356295519756
madre_anemia,sev_anemia_score,-0.046545349695705895
control_pren,anemia,-0.027668862908069105
control_pren,anemia_modsev,-0.020461859260557765
control_pren,hb_minsa,0.764226582787809
control_pren,hb_oms,0.7122904222860359
control_pren,sev_anemia_score,-0.04813072216862688
quintil,anemia,-0.026153175096445505
quintil,anemia_modsev,-0.01947770819726116
quintil,hb_minsa,0.7431637156062386
quintil,hb_oms,0.7003579793843251
quintil,sev_anemia_score,-0.04563088329370666
agua_potable,anemia,-0.026912468978924308
agua_potable,anemia_modsev,-0.02033719410960575
agua_potable,hb_minsa,0.7662752473612582
agua_potable,hb_oms,0.7106337554961716
agua_potable,sev_anemia_score,-0.047249663088530056
saneamiento,anemia,-0.027203564117181164
saneamiento,anemia_modsev,-0.0201572833726684
saneamiento,hb_minsa,0.7655496097625751
saneamiento,hb_oms,0.7132807284187116
saneamiento,sev_anemia_score,-0.04736084748984955
area,anemia,-0.026819699064381856
area,anemia_modsev,-0.019832877169833306
area,hb_minsa,0.7580426113554191
area,hb_oms,0.7038488068917693
area,sev_anemia_score,-0.04665257623421514
