estrato,outcome,n,estimate,p_value
urbano,anemia,4345,-0.025290678447303778,0.127370550134471
urbano,anemia_modsev,4345,-0.02049386892213942,0.03504133054508886
urbano,hb_minsa,4345,0.750628652925845,0.03994597296728089
urbano,hb_oms,4345,0.7546154147977098,0.03695406407176295
urbano,sev_anemia_score,4345,-0.0457845473694432,0.0432030024024067
rural,anemia,2358,-0.025009470687957183,0.31660869822611626
rural,anemia_modsev,2358,-0.01844253408180411,0.26930994505289574
rural,hb_minsa,2358,0.7465002717048774,0.19392926172001423
rural,hb_oms,2358,0.6648884965876356,0.2379835467387169
rural,sev_anemia_score,2358,-0.04345200476976128,0.22963215837331563
quintil_4_5,anemia,1226,0.0040307111438204375,0.8917608208708246
quintil_4_5,anemia_modsev,1226,-0.005750002543646172,0.7046243903354099
quintil_4_5,hb_minsa,1226,-0.01340738292808652,0.9836182953904745
quintil_4_5,hb_oms,1226,-0.08734783415266545,0.8920063988848451
quintil_4_5,sev_anemia_score,1226,-0.0017192913998257363,0.9642403301090593
quintil_1_3,anemia,5477,-0.03519297627522531,0.022709751929323466
quintil_1_3,anemia_modsev,5477,-0.023628998709656415,0.016006161894157617
quintil_1_3,hb_minsa,5477,0.9526149480900656,0.00645385747618644
quintil_1_3,hb_oms,5477,0.9205270346986536,0.007920076842600744
quintil_1_3,sev_anemia_score,5477,-0.05882197498488173,0.007150244732365221
edad_6_11,anemia,1232,-0.03715197311768792,0.2157903860144419
edad_6_11,anemia_modsev,1232,-0.05011449790004497,0.08225434921645734
edad_6_11,hb_minsa,1232,1.781718782623908,0.015934450236209326
edad_6_11,hb_oms,1232,1.763609726105857,0.014298299368722
edad_6_11,sev_anemia_score,1232,-0.08726647101773297,0.08332555924330459
edad_12_23,anemia,2030,0.008029024884531395,0.7505182470585525
edad_12_23,anemia_modsev,2030,-0.0018512657834099603,0.9136673150003767
edad_12_23,hb_minsa,2030,0.14636749838413698,0.7731093630407277
edad_12_23,hb_oms,2030,0.22818134056543138,0.6461945337546391
edad_12_23,sev_anemia_score,2030,0.006177759101121411,0.8642225201271547
edad_24_35,anemia,1570,-0.028740521213557867,0.27923305422114153
edad_24_35,anemia_modsev,1570,-0.0184400914382568,0.17892017456992948
edad_24_35,hb_minsa,1570,0.462622909358085,0.39571392678147077
edad_24_35,hb_oms,1570,0.40369099609221537,0.44219824803590746
edad_24_35,sev_anemia_score,1570,-0.04718061265181466,0.1700053216528753
